corridor_id,corridor_name,window_start_min,window_end_min,window_length_min,num_trains_sampled,criticality,day_of_week,window_id
CORR_001,Abhayapuri - Mainguri Railway Line,765,830,65,8,0.4,0,CORR_001_D0_W0
CORR_002,Bhairabi Sairang Railway Link,120,300,180,8,0.37,0,CORR_002_D0_W0
CORR_002,Bhairabi Sairang Railway Link,780,900,120,8,0.37,0,CORR_002_D0_W1
CORR_003,Bina - Katni railway,120,300,180,18,0.51,0,CORR_003_D0_W0
CORR_003,Bina - Katni railway,780,900,120,18,0.51,0,CORR_003_D0_W1
CORR_004,Bolangir - Khurda,120,300,180,8,0.38,0,CORR_004_D0_W0
CORR_004,Bolangir - Khurda,780,900,120,8,0.38,0,CORR_004_D0_W1
CORR_005,Delhi - Kalka Line,120,300,180,30,0.66,0,CORR_005_D0_W0
CORR_005,Delhi - Kalka Line,780,900,120,30,0.66,0,CORR_005_D0_W1
CORR_006,Eastern Dedicated Freight Corridor,120,300,180,30,0.78,0,CORR_006_D0_W0
CORR_006,Eastern Dedicated Freight Corridor,780,900,120,30,0.78,0,CORR_006_D0_W1
CORR_007,Howrah - Chennai Main Line,120,300,180,30,0.98,0,CORR_007_D0_W0
CORR_007,Howrah - Chennai Main Line,780,900,120,30,0.98,0,CORR_007_D0_W1
CORR_008,Howrah - Delhi Railway,120,300,180,30,0.95,0,CORR_008_D0_W0
CORR_008,Howrah - Delhi Railway,780,900,120,30,0.95,0,CORR_008_D0_W1
CORR_009,Kashmir Railway,120,300,180,8,0.37,0,CORR_009_D0_W0
CORR_009,Kashmir Railway,780,900,120,8,0.37,0,CORR_009_D0_W1
CORR_010,Katni - Obra railway,120,300,180,18,0.5,0,CORR_010_D0_W0
CORR_010,Katni - Obra railway,780,900,120,18,0.5,0,CORR_010_D0_W1
CORR_011,Kolkata Circular Railway,120,300,180,18,0.48,0,CORR_011_D0_W0
CORR_011,Kolkata Circular Railway,780,900,120,18,0.48,0,CORR_011_D0_W1
CORR_012,Konkan Railway,120,300,180,18,0.52,0,CORR_012_D0_W0
CORR_012,Konkan Railway,780,900,120,18,0.52,0,CORR_012_D0_W1
CORR_013,Krishnapatnam Port - Obulavaripalle new line,120,300,180,8,0.37,0,CORR_013_D0_W0
CORR_013,Krishnapatnam Port - Obulavaripalle new line,780,900,120,8,0.37,0,CORR_013_D0_W1
CORR_014,Line 1: Nagercoil - Chennai Egmore,120,300,180,8,0.38,0,CORR_014_D0_W0
CORR_014,Line 1: Nagercoil - Chennai Egmore,780,900,120,8,0.38,0,CORR_014_D0_W1
CORR_015,Line 2: Chennai Egmore - Nagercoil,120,300,180,8,0.38,0,CORR_015_D0_W0
CORR_015,Line 2: Chennai Egmore - Nagercoil,780,900,120,8,0.38,0,CORR_015_D0_W1
CORR_016,Lucknow–Moradabad line,120,300,180,30,0.65,0,CORR_016_D0_W0
CORR_016,Lucknow–Moradabad line,780,900,120,30,0.65,0,CORR_016_D0_W1
CORR_017,Lumding - Silchar BG Line,120,300,180,8,0.37,0,CORR_017_D0_W0
CORR_017,Lumding - Silchar BG Line,780,900,120,8,0.37,0,CORR_017_D0_W1
CORR_018,Mumbai - Delhi Railway,120,300,180,30,0.88,0,CORR_018_D0_W0
CORR_018,Mumbai - Delhi Railway,780,900,120,30,0.88,0,CORR_018_D0_W1
CORR_019,Mumbai-Pune Railway,120,300,180,30,0.63,0,CORR_019_D0_W0
CORR_019,Mumbai-Pune Railway,780,900,120,30,0.63,0,CORR_019_D0_W1
CORR_020,Western Dedicated Freight Corridor,120,300,180,30,0.82,0,CORR_020_D0_W0
CORR_020,Western Dedicated Freight Corridor,780,900,120,30,0.82,0,CORR_020_D0_W1
CORR_001,Abhayapuri - Mainguri Railway Line,765,830,65,8,0.4,1,CORR_001_D1_W0
CORR_002,Bhairabi Sairang Railway Link,120,300,180,8,0.37,1,CORR_002_D1_W0
CORR_002,Bhairabi Sairang Railway Link,780,900,120,8,0.37,1,CORR_002_D1_W1
CORR_003,Bina - Katni railway,120,300,180,18,0.51,1,CORR_003_D1_W0
CORR_003,Bina - Katni railway,780,900,120,18,0.51,1,CORR_003_D1_W1
CORR_004,Bolangir - Khurda,120,300,180,8,0.38,1,CORR_004_D1_W0
CORR_004,Bolangir - Khurda,780,900,120,8,0.38,1,CORR_004_D1_W1
CORR_005,Delhi - Kalka Line,120,300,180,30,0.66,1,CORR_005_D1_W0
CORR_005,Delhi - Kalka Line,780,900,120,30,0.66,1,CORR_005_D1_W1
CORR_006,Eastern Dedicated Freight Corridor,120,300,180,30,0.78,1,CORR_006_D1_W0
CORR_006,Eastern Dedicated Freight Corridor,780,900,120,30,0.78,1,CORR_006_D1_W1
CORR_007,Howrah - Chennai Main Line,120,300,180,30,0.98,1,CORR_007_D1_W0
CORR_007,Howrah - Chennai Main Line,780,900,120,30,0.98,1,CORR_007_D1_W1
CORR_008,Howrah - Delhi Railway,120,300,180,30,0.95,1,CORR_008_D1_W0
CORR_008,Howrah - Delhi Railway,780,900,120,30,0.95,1,CORR_008_D1_W1
CORR_009,Kashmir Railway,120,300,180,8,0.37,1,CORR_009_D1_W0
CORR_009,Kashmir Railway,780,900,120,8,0.37,1,CORR_009_D1_W1
CORR_010,Katni - Obra railway,120,300,180,18,0.5,1,CORR_010_D1_W0
CORR_010,Katni - Obra railway,780,900,120,18,0.5,1,CORR_010_D1_W1
CORR_011,Kolkata Circular Railway,120,300,180,18,0.48,1,CORR_011_D1_W0
CORR_011,Kolkata Circular Railway,780,900,120,18,0.48,1,CORR_011_D1_W1
CORR_012,Konkan Railway,120,300,180,18,0.52,1,CORR_012_D1_W0
