task_id,department,corridor_id,corridor_name,defect_type,failure_type,severity,days_overdue,estimated_repair_time_min,spatial_start_km,spatial_end_km,priority_score,criticality,risk_score,delay_minutes
TASK_00001,Engineering,CORR_008,Howrah - Delhi Railway,Rail Wear,Wheel Defect,3,8,109,2209.59,2211.49,0.638,0.95,70.24929989913329,22.99719674668978
TASK_00002,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Insulator Flashover,Bearing Failure,2,51,106,1279.0,1279.96,0.646,0.82,51.46109313637367,5.444784567666982
TASK_00003,Engineering,CORR_016,Lucknow–Moradabad line,Loose Fastening,Wheel Defect,4,1,106,22.23,22.87,0.602,0.65,59.85697848619333,16.205285320572994
TASK_00004,Signal & Telecom,CORR_012,Konkan Railway,Cable Cut,Signal Failure,3,85,57,179.59,181.34,0.656,0.52,52.39902857213684,4.80579714514535
TASK_00005,Traction Distribution,CORR_005,Delhi - Kalka Line,Pantograph Damage,Brake Failure,2,138,109,44.94,46.04,0.598,0.66,53.74002978346094,7.497875022695923
TASK_00006,Traction Distribution,CORR_005,Delhi - Kalka Line,OHE Wire Sag,Brake Failure,3,95,122,182.98,184.71,0.698,0.66,56.94710454930603,9.467622703409054
TASK_00007,Engineering,CORR_002,Bhairabi Sairang Railway Link,Loose Fastening,Track Defect,2,180,80,45.58,46.55,0.511,0.37,73.35386308837627,15.228146547030804
TASK_00008,Traction Distribution,CORR_018,Mumbai - Delhi Railway,Insulator Flashover,Brake Failure,2,180,102,1671.93,1673.18,0.664,0.88,75.17885135713202,16.487535599367956
TASK_00009,Traction Distribution,CORR_012,Konkan Railway,Transformer Oil Leak,Brake Failure,2,180,88,401.2,402.37,0.556,0.52,39.122824586542826,14.503314877682996
TASK_00010,Engineering,CORR_016,Lucknow–Moradabad line,Rail Wear,Track Defect,3,0,80,96.27,97.61,0.495,0.65,55.69581122471864,20.731893291591906
TASK_00011,Engineering,CORR_001,Abhayapuri - Mainguri Railway Line,Ballast Deficiency,Wheel Defect,2,180,62,38.32,39.42,0.52,0.4,57.9322075904059,3.2136320739284234
TASK_00012,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Transformer Oil Leak,Brake Failure,4,180,136,1542.11,1543.36,0.846,0.82,61.148356871142205,3.519476634231624
TASK_00013,Traction Distribution,CORR_018,Mumbai - Delhi Railway,Insulator Flashover,Brake Failure,5,65,162,549.5,551.02,0.964,0.88,54.12984036661947,27.470762558368865
TASK_00014,Engineering,CORR_006,Eastern Dedicated Freight Corridor,Rail Wear,Wheel Defect,3,44,101,263.2,264.32,0.734,0.78,67.05786236897816,28.233254233151644
TASK_00015,Engineering,CORR_005,Delhi - Kalka Line,Track Geometry Deviation,Wheel Defect,2,180,91,247.72,249.25,0.598,0.66,65.82280922928854,20.27620782825364
TASK_00016,Traction Distribution,CORR_005,Delhi - Kalka Line,Brake Pad Wear,Brake Failure,2,180,86,222.3,223.87,0.598,0.66,68.38303286821966,14.00260544411736
TASK_00017,Signal & Telecom,CORR_007,Howrah - Chennai Main Line,Cable Cut,Signal Failure,2,180,54,3433.46,3435.08,0.694,0.98,53.64341999313039,6.490501491638961
TASK_00018,Signal & Telecom,CORR_011,Kolkata Circular Railway,Track Circuit Failure,Signal Failure,2,180,70,59.55,60.76,0.544,0.48,43.39231969303249,26.551247948877837
TASK_00019,Traction Distribution,CORR_008,Howrah - Delhi Railway,Bearing Overheating,Bearing Failure,2,94,110,2954.04,2954.55,0.685,0.95,56.32269117473108,16.580484941771758
TASK_00020,Traction Distribution,CORR_007,Howrah - Chennai Main Line,Transformer Oil Leak,Brake Failure,2,27,84,3110.36,3111.99,0.674,0.98,67.27793280697635,27.717785783930907
TASK_00021,Signal & Telecom,CORR_013,Krishnapatnam Port - Obulavaripalle new line,Track Circuit Failure,Signal Failure,2,81,71,16.39,18.25,0.511,0.37,65.19840660009613,2.0615695927048034
TASK_00022,Traction Distribution,CORR_004,Bolangir - Khurda,Pantograph Damage,Bearing Failure,2,180,100,158.22,159.7,0.514,0.38,60.33531126594144,39.08544812297812
TASK_00023,Engineering,CORR_007,Howrah - Chennai Main Line,Sleeper Crack,Wheel Defect,2,178,65,972.4,973.69,0.694,0.98,67.25902293346215,16.82049944949949
TASK_00024,Signal & Telecom,CORR_008,Howrah - Delhi Railway,Cable Cut,Signal Failure,2,180,57,325.06,326.4,0.685,0.95,53.311042765403926,9.15664776364334
TASK_00025,Traction Distribution,CORR_009,Kashmir Railway,Insulator Flashover,Brake Failure,3,61,116,130.43,131.89,0.611,0.37,54.02620098607456,23.244827246078568
TASK_00026,Traction Distribution,CORR_017,Lumding - Silchar BG Line,OHE Wire Sag,Bearing Failure,2,21,92,47.41,49.41,0.451,0.37,63.02711035798082,27.24482963776728
TASK_00027,Engineering,CORR_005,Delhi - Kalka Line,Track Geometry Deviation,Track Defect,4,34,124,200.08,200.67,0.798,0.66,52.39846194224253,9.066966825410136
TASK_00028,Engineering,CORR_010,Katni - Obra railway,Loose Fastening,Wheel Defect,2,180,63,202.15,202.68,0.55,0.5,55.57312932186907,13.357339683230744
TASK_00029,Signal & Telecom,CORR_012,Konkan Railway,Point Machine Failure,Signal Failure,3,86,85,80.72,82.67,0.656,0.52,53.6537742064359,11.021529946515946
TASK_00030,Traction Distribution,CORR_002,Bhairabi Sairang Railway Link,Transformer Oil Leak,Brake Failure,2,65,90,24.11,25.27,0.511,0.37,57.84306596936683,12.785274761067338
TASK_00031,Traction Distribution,CORR_013,Krishnapatnam Port - Obulavaripalle new line,Bearing Overheating,Brake Failure,2,59,110,44.47,45.89,0.511,0.37,48.02319614122402,26.12748478050211
TASK_00032,Traction Distribution,CORR_005,Delhi - Kalka Line,Brake Pad Wear,Bearing Failure,2,180,93,236.8,238.43,0.598,0.66,49.4849247077297,14.746739365151717
TASK_00033,Traction Distribution,CORR_002,Bhairabi Sairang Railway Link,Bearing Overheating,Brake Failure,3,138,107,50.84,52.45,0.611,0.37,62.56725278387504,21.887798897448263
TASK_00034,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,OHE Wire Sag,Brake Failure,3,180,130,647.12,648.59,0.746,0.82,59.97960098425044,14.62340104173652
TASK_00035,Engineering,CORR_020,Western Dedicated Freight Corridor,Rail Fracture,Wheel Defect,3,71,98,57.86,59.07,0.746,0.82,69.7320562440493,14.704372563358596
