corridor_id,corridor_name,tasks_available,tasks_assigned,expired_temp_fixes,critical_temp_fixes
CORR_001,Abhayapuri - Mainguri Railway Line,30,7,20,10
CORR_002,Bhairabi Sairang Railway Link,30,30,23,7
CORR_003,Bina - Katni railway,30,30,30,0
CORR_004,Bolangir - Khurda,30,30,19,11
CORR_005,Delhi - Kalka Line,30,30,28,2
CORR_006,Eastern Dedicated Freight Corridor,30,30,30,0
CORR_007,Howrah - Chennai Main Line,30,30,30,0
CORR_008,Howrah - Delhi Railway,30,30,12,18
CORR_009,Kashmir Railway,30,30,1,10
CORR_010,Katni - Obra railway,30,30,8,16
CORR_011,Kolkata Circular Railway,30,30,14,14
CORR_012,Konkan Railway,30,30,8,13
CORR_013,Krishnapatnam Port - Obulavaripalle new line,30,30,1,2
CORR_014,Line 1: Nagercoil - Chennai Egmore,30,30,1,3
CORR_015,Line 2: Chennai Egmore - Nagercoil,30,30,1,7
CORR_016,Lucknow–Moradabad line,30,30,6,7
CORR_017,Lumding - Silchar BG Line,30,30,4,2
CORR_018,Mumbai - Delhi Railway,30,30,1,6
CORR_019,Mumbai-Pune Railway,30,30,0,0
CORR_020,Western Dedicated Freight Corridor,30,30,0,0
